ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,上海,惟容广告,5,False,1,False,150,100,数据挖掘实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/B8/EF/B8B27FD4EFC07E049DB8F29226FEC0EF.png,inn_gr36dfyrjciv
f,深圳,顺丰科技,3,False,1,False,250,200,数据标注实习生（顺丰科技AI部门）,08-13,intern,https://sxsimg.xiaoyuanzhao.com/73/3C/73F8582B87688BA51E3FED0DD6F7D03C.jpg,inn_k48z9sel5m0l
f,广州,科腾信息,3,False,1,False,150,100,数据分析员与项目助理,08-13,intern,https://sxsimg.xiaoyuanzhao.com/0E/4B/0EA111F37FB1B000FB4C4A867DFD004B.jpg,inn_wmsnoqt7lo9o
f,宁波,萌牙,5,False,1,False,180,120,数据分析实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/00/7A/0090D5AC76FF6ECF0D1A029944E4C87A.png,inn_q2gsifs0uxqy
f,北京,Zenjoy,5,False,1,False,300,250,数据挖掘工程实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/05/55/05794256C1ED2C1F174C4D1A54579555.jpg,inn_kjpfah83kugk
f,北京,复杂国重实验室,4,False,1,False,150,120,数据解析与深度学习实习生/访问学生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/78/42/789BAD784008D0CC9D3BCE68C03C2542.png,inn_zexlicaksnt0
f,武汉,交复医学,5,False,1,False,200,150,数据分析实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/5D/93/5D64B06D26CA08307FAB0319CAAD0D93.png,inn_kqx9kwzavlh3
f,北京,人人贷,3,False,1,False,150,100,数据开发实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/A7/67/A7C0D5DA3E3E3D220C2B75E502CD6E67.png,inn_sfqp6mejf801
f,广州,留海科技,4,False,1,False,120,100,数据分析实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/D0/9E/D0848DCCCEFF273F1C09D531630F8F9E.png,inn_udnbqiuyvahh
f,北京,百融金服,5,False,1,False,200,150,数据分析师实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/D6/13/D61E2DA7967E89AE41A5B85229665413.png,inn_3sssizadnici
f,济南,亚信科技,5,False,1,False,150,100,大数据分析挖掘工程师,08-13,intern,https://sxsimg.xiaoyuanzhao.com/BA/3B/BAD25D660674E015E42C177A110C2A3B.png,inn_jawuax4rjhzo
f,天津,妙计旅行,5,False,1,False,150,100,数据挖掘实习生（天津）,08-13,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-26/Y2ZU0Va1bB6TAN8.png,inn_rgplgyikgcho
f,南京,流量海,5,False,0,False,200,150,数据分析,08-13,intern,https://sxsimg.xiaoyuanzhao.com/9B/03/9BEFE3DD1CFC7E67A78CA81BB11D2403.png,inn_5hhcfctoajlu
f,上海,信用飞&首付游,4,False,1,False,200,150,数据分析实习生,08-12,intern,https://sxsimg.xiaoyuanzhao.com/65/77/653C1FF50051BF8DEDDC7596F0954377.jpg,inn_ecbvwrjs0zkq
f,深圳,超级码力,5,False,1,False,200,150,数据挖掘工程师,08-12,intern,https://sxsimg.xiaoyuanzhao.com/34/08/34D08031DC2B83005F4FD739E4029A08.jpg,inn_neet0u3q5pr6
f,杭州,阶形网络,4,False,1,False,250,200,数据分析实习生,08-11,intern,https://sxsimg.xiaoyuanzhao.com/34/FE/34B41FA0032DC63807004E84D11882FE.png,inn_tkjuaativkt3
f,杭州,阶形网络,4,False,1,False,210,200,数据运营实习生,08-11,intern,https://sxsimg.xiaoyuanzhao.com/34/FE/34B41FA0032DC63807004E84D11882FE.png,inn_sxdvwmh0qodl
f,宁波,萌牙,5,False,1,False,200,150,数据分析,08-11,intern,https://sxsimg.xiaoyuanzhao.com/00/7A/0090D5AC76FF6ECF0D1A029944E4C87A.png,inn_vjsztc0u3dnv
f,上海,数行科技,3,False,1,False,200,150,数据分析师,08-11,intern,https://sxsimg.xiaoyuanzhao.com/B3/58/B3841D4E7297B5EBE16FA3ECB1B37C58.jpg,inn_ytnzf00ujbvm
